"number","name","height","floors","city","country"
"71","Haitian Center Tower 2","368.9","73 (+ 6 below ground)","Qingdao","China"
73,"72","368.9","73 (+ 6 below ground)","Qingdao","China"
"73","Bank of China Tower","367.4","72 (+ 4 below ground)","Hong Kong","Hong Kong"
"74","Bank of America Tower","365.8","55 (+ 3 below ground)","New York City","United States"
"75","Ciel Tower","365.5","81","Dubai","United Arab Emirates"
"76","St. Regis Chicago","362.9","101 (+ 5 below ground)","Chicago","United States"
"77","Almas Tower","360","68 (+ 5 below ground)","Dubai","United Arab Emirates"
79,"Ping An Finance Center Tower 1","360","68 (+ 5 below ground)","Dubai","United Arab Emirates"
80,"79","360","68 (+ 5 below ground)","Dubai","United Arab Emirates"
81,"80","360","68 (+ 5 below ground)","Dubai","United Arab Emirates"
82,"81","360","68 (+ 5 below ground)","Dubai","United Arab Emirates"
"82","City Tower 1","358","94","Dubai","United Arab Emirates"
84,"83","358","94","Dubai","United Arab Emirates"
"84","Galaxy World Tower 1","356.0","71 (+ 5 below ground)","Shenzhen","China"
86,"Galaxy World Tower 2","356.0","71 (+ 5 below ground)","Shenzhen","China"
87,"Il Primo Tower","356.0","71 (+ 5 below ground)","Shenzhen","China"
88,"87","356.0","71 (+ 5 below ground)","Shenzhen","China"
89,"JW Marriott Marquis Dubai Tower 2","356.0","71 (+ 5 below ground)","Shenzhen","China"
90,"89","356.0","71 (+ 5 below ground)","Shenzhen","China"
"90","Raffles City Chongqing T3N","354.5","79 (+ 3 below ground)","Chongqing","China"
92,"Raffles City Chongqing T4N","354.5","79 (+ 3 below ground)","Chongqing","China"
"92","OKO – South Tower","354.2","90 (+ 2 below ground)","Moscow","Russia"
"93","CBRT Tower","352.0","59","Istanbul","Turkey"
"94","The Marina Torch","352.0","86 (+ 4 below ground)","Dubai","United Arab Emirates"
"95","Forum 66 Tower 1","350.6","68 (+ 4 below ground)","Shenyang","China"
97,"96","350.6","68 (+ 4 below ground)","Shenyang","China"
98,"97","350.6","68 (+ 4 below ground)","Shenyang","China"
